Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2021
GEMAK GIDA END.MAK.VE TİC.A.Ş.;Ankara;Yazılım Mühendisi;İş Yerinde;2023
WEHIRE HUMAN RESOURCES İNSAN KAYNAKLARI PERSONEL SEÇME YERLEŞTİRME EĞİTİM VE DANIŞMANLIK HİZM.A.Ş.;Bursa;Yazılım Mühendisi;İş Yerinde;2023
Sab Otomotiv Yedek Parça Metal Makina San.ve Tic.A.Ş.;Konya;Yazılım Mühendisi;İş Yerinde;2023
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;İstanbul;Delivery Software Engineer;Uzaktan / Remote;2022
CEYHOLDING;İstanbul;Yazılım Mühendisi;İş Yerinde;2022
Sompo Sigorta A.Ş.;Tekirdağ;Yazılım Mühendisi (Front-End);Hibrit;2024
Gökçağ Kumaşçılık San. ve Tic. A.Ş.;İstanbul;Yazılım Mühendisi;İş Yerinde;2024
Laserisse;Ankara;Software Engineer (C#/Wpf .Net Developer);İş Yerinde;2021
FABRİCATE MÜHENDİSLİK VE TEST SİSTEMLERİ;Bursa;Yazılım Geliştirme Mühendisi;İş Yerinde;2021
EKER SÜT ÜRÜNLERİ GIDA SANAYİ VE TİCARET A.Ş.;Ankara;Yazılım Mühendisi;İş Yerinde;2024
SFS DANIŞMANLIK BİLGİ İŞLEM SAN.VE DIŞ TİCARET A.Ş;Antalya;Kıdemli Yazılım Uzmanı/Yazılım Uzmanı;Uzaktan / Remote;2024
PUSULA CUSTOMER EXPERIENCE İLETİŞİM ANONİM ŞİRKETİ;Ankara;Yazılım Mühendisi;İş Yerinde;2023
Diana Turizm Otelcilik Tic. ve San. A.Ş.;Düzce;Yazılım Mühendisi;İş Yerinde;2022
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;İstanbul;Yazılım Mühendisi;İş Yerinde;2023
Real Solutions Bilişim Teknolojileri San. Tic. A.Ş;Ankara;Full Stack Developer;Hibrit;2022
ARCHİTECHT BİLİŞİM SİSTEMLERİ VE PAZARLAMA TİCARET ANONİM ŞİRKETİ;Ankara;Architecht Techtalent 2024;Hibrit;2021
Türkiye Noterler Birliği;İstanbul;Yazılım Mühendisi (Angular);İş Yerinde;2021
Türkiye Noterler Birliği;Ankara;Yazılım Mühendisi (Java);İş Yerinde;2021
FİBA SİGORTA A.Ş .;İstanbul;Software Engineer – Java - Spring Boot;Uzaktan / Remote;2023
Eliar Elektronik San. A.Ş.;Ankara;.Net Core Developer;İş Yerinde;2024
ICterra Bilgi ve İletişim Teknolojileri San. ve Tic. A.Ş.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2024
Firma Bilgisi Gizli;İstanbul;Yazılım Mühendisi;İş Yerinde;2021
MRC ARGE ENERJİ MÜHENDİSLİĞİ KONTROL VE TEST HİZMETLERİ LTD. ŞTİ.;İstanbul;Junior Software Engineer;İş Yerinde;2022
Meba Elektronik iletişim Sistemleri Tic. Ltd. Şti.;İstanbul;Yazılım Kalite Mühendisi;İş Yerinde;2023
İmeceMobil Tarım Platformu Elektronik Hizmetler Ticaret A.Ş.;İzmir;Yazılım Mühendisi;Hibrit;2024
